iter	Passed	Remaining
0	1	173
1	3	158
2	4	148
3	5	136
4	7	135
5	8	135
6	10	136
7	11	132
8	12	130
9	14	128
10	15	128
11	17	127
12	18	126
13	20	124
14	21	122
15	22	120
16	24	118
17	25	116
18	26	114
19	28	112
20	29	111
21	31	110
22	32	109
23	33	107
24	35	105
25	36	104
26	38	103
27	39	102
28	41	101
29	42	100
30	44	98
31	45	96
32	46	95
33	48	93
34	49	92
35	51	90
36	52	89
37	54	88
38	55	86
39	56	85
40	58	83
41	58	81
42	60	79
43	61	78
44	63	77
45	65	76
46	66	75
47	68	73
48	69	72
49	70	70
50	71	69
51	73	67
52	74	66
53	76	65
54	77	63
55	78	61
56	79	60
57	81	58
58	82	57
59	84	56
60	85	54
61	87	53
62	88	52
63	90	50
64	91	49
65	93	47
66	94	46
67	96	45
68	97	43
69	99	42
70	101	41
71	103	40
72	104	38
73	105	37
74	107	35
75	108	34
76	110	32
77	112	31
78	113	30
79	115	28
80	116	27
81	118	25
82	119	24
83	121	23
84	124	21
85	127	20
86	128	19
87	130	17
88	131	16
89	132	14
90	134	13
91	135	11
92	137	10
93	138	8
94	140	7
95	141	5
96	143	4
97	144	2
98	145	1
99	147	0
